Sara Molina, Maine, Wrong, 16131, 5463
Miriam Mullen, New York, Wrong, 22317, 6502
Jaden Maddox, New York, Wrong, 16962, 13897
Patrick House, New Hampshire, Right, 16170, 8624
Chaya Hardin, Massachusetts, Right, 17091, 12574
Miriam Hopper, Maine, Right, 15290, 9657
Katherine Bonner, Rhode Island, Right, 17385, 8767
Alex Daniel, New York, Wrong, 15850, 9281
Jordan Meadows, Maine, Right, 21585, 11991
Michelle Dorsey, New York, Right, 24722, 5337
Ryan Phillips, New York, Wrong, 18760, 9679
Jennifer Reid, New York, Wrong, 21503, 6313
Caleb Terry, Rhode Island, Right, 20243, 12421
Mia Calhoun, New Jersey, Right, 17786, 6541
Rachel Mathis, Massachusetts, Right, 15553, 6517
Abraham Downs, Massachusetts, Right, 19114, 10930
Jeremiah Winters, Massachusetts, Right, 19167, 11938
Jonathan Vance, Vermont, Wrong, 19053, 7372
Lily Maxwell, Massachusetts, Right, 18822, 13034
Gianna Watson, Massachusetts, Right, 18177, 6818
Camila Dixon, New York, Wrong, 16861, 7454
Xavier Gray, New Jersey, Right, 15826, 13542
Landon Sosa, New York, Wrong, 19840, 12088
Khloe Garza, Massachusetts, Wrong, 22017, 8991
Madison Patrick, Maine, Wrong, 16132, 14858
Moshe Colon, New York, Right, 22650, 14445
Sebastian Kline, New Hampshire, Wrong, 15245, 13987
Elijah Goff, New York, Right, 19178, 9507
Gabrielle Holman, New Jersey, Wrong, 16928, 10034
Kayla Cervantes, New York, Right, 19496, 8923
Isabella Warner, New Jersey, Wrong, 15501, 8420
Dominic Moran, Massachusetts, Right, 23092, 12199
Samantha Jordan, Vermont, Right, 17104, 14318
Caleb Hill, New Jersey, Right, 22422, 11211
Lucy Galloway, New York, Wrong, 17208, 6796
Benjamin Fitzpatrick, Massachusetts, Wrong, 19285, 8491
Kimberly Murphy, Vermont, Right, 16162, 13961
Jose Spence, Massachusetts, Right, 18063, 14621
Hannah Love, New York, Right, 21992, 7710
Rebecca Gardner, New York, Wrong, 19429, 10082
Kaylee Obrien, Maine, Right, 22509, 8574
Taylor Park, New York, Wrong, 22272, 7799
Chase York, Maine, Right, 21510, 5869
Jacob Hays, Maine, Right, 23041, 9759
Nathaniel Kinney, New York, Wrong, 24235, 13734
Ian Nelson, New Jersey, Wrong, 19046, 6607
Samantha Ortega, New Hampshire, Right, 23470, 9739
Rachel Whitaker, Vermont, Right, 21476, 13629
Angelina Hendrix, New York, Right, 21849, 5692
Alexa Contreras, Maine, Wrong, 16173, 13482
Dylan Hubbard, New York, Right, 24403, 8258
Samantha Vincent, Maine, Right, 20900, 13921
Hannah Huffman, New Jersey, Wrong, 18353, 9570
Makayla Sweeney, New York, Wrong, 22774, 5198
Jennifer May, New Jersey, Right, 17204, 5203
Kimberly Sandoval, New York, Wrong, 15152, 6090
